date,cases
12/31/2019,27.00
1/1/2020,0.00
2/1/2020,0.00
3/1/2020,17.00
4/1/2020,0.00
5/1/2020,15.00
6/1/2020,0.00
7/1/2020,0.00
8/1/2020,0.00
9/1/2020,0.00
10/1/2020,0.00
11/1/2020,0.00
12/1/2020,0.00
13/1/2020 ,1.00
14/1/2020,0.00
15/1/2020,1.00
16/1/2020,0.00
17/1/2020,5.00
18/1/2020,17.00
19/1/2020,136.00
20/1/2020,20.00
21/1/2020,153.00
22/1/2020,142.00
23/1/2020,97.00
24/1/2020,266.00
25/1/2020,453.00
26/1/2020,673.00
27/1/2020,797.00
28/1/2020,1767.00
29/1/2020,1480.00
30/1/2020,1756.00
31/1/2020,2003.00
1/2/2020,2120.00
2/2/2020,2603.00
3/2/2020,2818.00
4/2/2020,3243.00
5/2/2020,3907.00
6/2/2020,3751.00
7/2/2020,3281.00
8/2/2020,3442.00
9/2/2020,2619.00
10/2/2020,2988.00
11/2/2020,2565.00
12/2/2020,2072.00
13/2/2020,15151.00
14/2/2020,4215.00
15/2/2020,2560.00
16/2/2020,2162.00
17/2/2020,2067.00
18/2/2020,1995.00
19/2/2020,1864.00
20/2/2020,532.00
21/2/2020,996.00
22/2/2020,1085.00
23/2/2020,1008.00
24/2/2020,527.00
25/2/2020,793.00
26/2/2020,863.00
27/2/2020,1106.00
28/2/2020,1264.00
29/2/2020,1838.00
1/3/2020,1823.00
2/3/2020,2042.00
3/3/2020,1797.00
4/3/2020,2212.00
5/3/2020,2239.00
6/3/2020,2856.00
7/3/2020,3961.00
8/3/2020,3691.00
9/3/2020,3871.00
10/3/2020,4537.00
11/3/2020,4378.00
12/30/2020,6887.00
13/3/2020,8356.00
14/3/2020,9402.00
15/3/2020,11519.00
16/3/2020,12644.00
17/3/2020,12676.00
18/3/2020,14742.00
19/3/2020,18313.00
20/3/2020,29223.00
21/3/2020,28742.00
22/3/2020,34119.00
23/3/2020,32999.00
24/3/2020,39727.00
25/3/2020,38919.00
26/3/2020,51209.00
27/3/2020,59742.00
28/3/2020,63965.00
29/3/2020,65119.00
30/3/2020,58502.00
31/3/2020,61791.00
1/4/2020,74407.00
2/4/2020,76877.00
3/4/2020,77586.00
4/4/2020,81760.00
5/4/2020,86479.00
6/4/2020,71281.00
7/4/2020,71390.00
8/4/2020,74902.00
9/4/2020,84930.00
10/4/2020,87039.00
11/4/2020,89349.00
12/4/2020,81707.00
13/4/2020,72390.00
14/4/2020,66386.00
15/4/2020,75233.00
16/4/2020,81008.00
17/4/2020,84339.00
18/4/2020,83324.00
19/4/2020,84121.00
20/4/2020,74139.00
21/4/2020,75852.00
22/4/2020,88817.00
23/4/2020,66424.00
24/4/2020,78087.00
25/4/2020,73307.00
26/4/2020,101533.00
27/4/2020,83227.00
28/4/2020,65565.00
29/4/2020,72862.00
30/4/2020,77083.00
1/5/2020,84440.00
2/5/2020,92964.00
3/5/2020,80568.00
4/5/2020,78588.00
5/5/2020,77439.00
6/5/2020,79303.00
7/5/2020,88905.00
8/5/2020,94158.00
9/5/2020,90139.00
10/5/2020,90140.00
11/5/2020,76989.00
12/5/2020,71032.00
13/5/2020,85786.00
14/5/2020,85108.00
15/5/2020,96665.00
16/5/2020,98034.00
17/5/2020,94195.00
18/5/2020,81218.00
19/5/2020,87135.00
20/5/2020,95075.00
21/5/2020,99483.00
22/5/2020,106122.00
23/5/2020,106574.00
24/5/2020,101106.00
25/5/2020,94216.00
26/5/2020,89096.00
27/5/2020,95870.00
28/5/2020,101548.00
29/5/2020,119840.00
30/5/2020,122354.00
31/5/2020,127796.00
1/6/2020,107968.00
2/6/2020,100481.00
3/6/2020,112519.00
4/6/2020,126684.00
5/6/2020,127351.00
6/6/2020,133510.00
7/6/2020,125862.00
8/6/2020,116318.00
9/6/2020,105851.00
10/6/2020,125594.00
11/6/2020,133462.00
12/6/2020,137577.00
13/6/2020,144464.00
14/6/2020,134077.00
15/6/2020,122166.00
16/6/2020,118692.00
17/6/2020,141305.00
18/6/2020,176430.00
19/6/2020,138692.00
20/6/2020,177251.00
21/6/2020,161944.00
22/6/2020,129799.00
23/6/2020,136800.00
24/6/2020,165969.00
25/6/2020,170912.00
26/6/2020,181580.00
27/6/2020,189259.00
28/6/2020,181386.00
29/6/2020,160233.00
30/6/2020,159962.00
1/7/2020,199127.00
2/7/2020,210186.00
3/7/2020,214889.00
4/7/2020,196236.00
5/7/2020,178724.00
6/7/2020,172170.00
7/7/2020,209108.00
8/7/2020,214458.00
9/7/2020,224530.00
10/7/2020,238176.00
11/7/2020,217410.00
12/7/2020,199124.00
13/7/2020,196698.00
14/7/2020,220220.00
15/7/2020,235594.00
16/7/2020,249668.00
17/7/2020,240936.00
18/7/2020,227019.00
19/7/2020,222732.00
20/7/2020,205620.00
21/7/2020,239697.00
22/7/2020,280355.00
23/7/2020,276899.00
24/7/2020,289611.00
25/7/2020,261885.00
26/7/2020,225313.00
27/7/2020,218575.00
28/7/2020,248434.00
29/7/2020,290459.00
30/7/2020,287348.00
31/7/2020,282171.00
